341	822508
578	604141
344	521611
351	433368
109	429205
235	285801
361	283102
105	198774
107	191407
106	184124
126	112266
110	102061
359	100134
347	73733
236	73680
121	72421
352	66549
117	62683
348	59142
112	56768
118	50563
113	49304
233	44130
340	32057
232	20377
358	17739
360	16064
114	13984
353	13826
104	13791
343	12511
355	12341
116	10855
365	9939
111	9113
678	8476
364	5994
101	4574
125	3756
238	2645
231	2477
124	2305
350	1902
345	1468
675	1450
342	908
572	829
363	810
346	750
356	618
120	389
230	300
677	239
571	207
237	168
122	122
115	122
234	111
354	95
102	93
455	59
119	48
349	47
366	45
103	33
676	31
672	20
685	18
460	16
881	13
357	11
123	4
362	3
577	3
